,0
0,000001.SZ
1,000002.SZ
2,000004.SZ
3,000005.SZ
4,000006.SZ
5,000007.SZ
6,000008.SZ
7,000009.SZ
8,000010.SZ
9,000011.SZ
10,000012.SZ
11,000014.SZ
12,000016.SZ
13,000017.SZ
14,000018.SZ
15,000019.SZ
16,000020.SZ
17,000021.SZ
18,000022.SZ
19,000023.SZ
20,000024.SZ
21,000025.SZ
22,000026.SZ
23,000027.SZ
24,000028.SZ
25,000029.SZ
26,000030.SZ
27,000031.SZ
28,000032.SZ
29,000033.SZ
30,000034.SZ
31,000035.SZ
32,000036.SZ
33,000037.SZ
34,000038.SZ
35,000039.SZ
36,000040.SZ
37,000042.SZ
38,000043.SZ
39,000045.SZ
40,000046.SZ
41,000048.SZ
42,000049.SZ
43,000050.SZ
44,000055.SZ
45,000056.SZ
46,000058.SZ
47,000059.SZ
48,000060.SZ
49,000061.SZ
50,000062.SZ
51,000063.SZ
52,000065.SZ
53,000066.SZ
54,000068.SZ
55,000069.SZ
56,000070.SZ
57,000078.SZ
58,000088.SZ
59,000089.SZ
60,000090.SZ
61,000096.SZ
62,000099.SZ
63,000100.SZ
64,000150.SZ
65,000151.SZ
66,000153.SZ
67,000155.SZ
68,000156.SZ
69,000157.SZ
70,000158.SZ
71,000159.SZ
72,000166.SZ
73,000301.SZ
74,000333.SZ
75,000338.SZ
76,000400.SZ
77,000401.SZ
78,000402.SZ
79,000403.SZ
80,000404.SZ
81,000407.SZ
82,000408.SZ
83,000409.SZ
84,000410.SZ
85,000411.SZ
86,000413.SZ
87,000415.SZ
88,000416.SZ
89,000417.SZ
90,000418.SZ
91,000419.SZ
92,000420.SZ
93,000421.SZ
94,000422.SZ
95,000423.SZ
96,000425.SZ
97,000426.SZ
98,000428.SZ
99,000429.SZ
100,000430.SZ
101,000488.SZ
102,000498.SZ
103,000501.SZ
104,000502.SZ
105,000503.SZ
106,000504.SZ
107,000505.SZ
108,000506.SZ
109,000507.SZ
110,000509.SZ
111,000510.SZ
112,000511.SZ
113,000513.SZ
114,000514.SZ
115,000516.SZ
116,000517.SZ
117,000518.SZ
118,000519.SZ
119,000520.SZ
120,000521.SZ
121,000523.SZ
122,000524.SZ
123,000525.SZ
124,000526.SZ
125,000528.SZ
126,000529.SZ
127,000530.SZ
128,000531.SZ
129,000532.SZ
130,000533.SZ
131,000534.SZ
132,000536.SZ
133,000537.SZ
134,000538.SZ
135,000539.SZ
136,000540.SZ
137,000541.SZ
138,000543.SZ
139,000544.SZ
140,000545.SZ
141,000546.SZ
142,000547.SZ
143,000548.SZ
144,000550.SZ
145,000551.SZ
146,000552.SZ
147,000553.SZ
148,000554.SZ
149,000555.SZ
150,000557.SZ
151,000558.SZ
152,000559.SZ
153,000560.SZ
154,000561.SZ
155,000563.SZ
156,000564.SZ
157,000565.SZ
158,000566.SZ
159,000567.SZ
