Date,Open,High,Low,Close,Volume,Adj Close
2013-05-20 00:00:00.005,2.74,2.74,2.71,2.73,7525760.0,2.73
2013-05-21 00:00:00.005,2.72,2.74,2.71,2.74,5830726.0,2.74
2013-05-22 00:00:00.005,2.74,2.78,2.73,2.74,7475149.0,2.74
2013-05-23 00:00:00.005,2.73,2.8,2.72,2.75,10785749.0,2.75
2013-05-24 00:00:00.005,2.75,2.87,2.74,2.81,13836951.0,2.81
2013-05-27 00:00:00.005,2.79,2.81,2.76,2.78,6824422.0,2.78
2013-05-28 00:00:00.005,2.78,2.82,2.76,2.81,9364181.0,2.81
2013-05-29 00:00:00.005,2.82,2.84,2.81,2.82,8725071.0,2.82
2013-05-30 00:00:00.005,2.81,2.82,2.77,2.8,7575884.0,2.8
2013-05-31 00:00:00.005,2.8,2.8,2.74,2.75,5851040.0,2.75
2013-06-03 00:00:00.005,2.75,2.78,2.73,2.76,3982951.0,2.76
2013-06-04 00:00:00.005,2.76,2.77,2.7,2.7,3743375.0,2.7
2013-06-05 00:00:00.005,2.71,2.72,2.7,2.71,2754459.0,2.71
2013-06-06 00:00:00.005,2.7,2.71,2.65,2.66,3298699.0,2.66
2013-06-07 00:00:00.005,2.66,2.68,2.62,2.62,2997550.0,2.62
2013-06-13 00:00:00.005,2.62,2.62,2.52,2.55,3694345.0,2.55
2013-06-14 00:00:00.005,2.55,2.58,2.54,2.56,2081565.0,2.56
2013-06-17 00:00:00.005,2.57,2.58,2.53,2.57,1785596.0,2.57
2013-06-18 00:00:00.005,2.58,2.58,2.55,2.58,1819695.0,2.58
2013-06-19 00:00:00.005,2.57,2.57,2.5,2.55,3049964.0,2.55
2013-06-20 00:00:00.005,2.56,2.56,2.47,2.48,2028955.0,2.48
2013-06-21 00:00:00.005,2.46,2.46,2.36,2.43,3145771.0,2.43
2013-06-24 00:00:00.005,2.43,2.43,2.26,2.28,3612019.0,2.28
